property_type,state,lat,lon,area_m2,price_usd
House,Estado de México,19.560181,-99.233528,150.0,67965.56
House,Nuevo León,25.6884355,-100.1988071,186.0,63223.78
APARTMENT,Guerrero,16.767704,-99.764383,82.0,84298.37
APARTMENT,Guerrero,16.829782,-99.911012,150.0,94308.8
House,Yucatán,21.05258302,-89.53863859,205.0,105191.37
House,Querétaro,20.7163149,-100.4525027,320.0,274034.68
House,Morelos,18.8126047,-98.9548261,281.0,151509.56
House,Chiapas,16.769737,-93.088928,140.0,79029.72
House,Morelos,18.804197,-98.932816,117.0,63223.78
APARTMENT,Guerrero,16.775165,-99.789939,117.0,157269.15
House,Yucatán,21.0483333,-89.6780555,193.0,104607.47
House,Estado de México,19.560181,-99.233528,85.0,63238.77
House,Tabasco,18.01408208,-92.8963995,135.0,77994.48
APARTMENT,Yucatán,21.33715074,-89.32268858,208.0,203167.1
House,Distrito Federal,19.337652,-99.2233268,297.0,264390.77
APARTMENT,Distrito Federal,19.428152,-99.106194,68.0,67175.26
House,Puebla,18.991881,-98.275275,334.0,262905.55
House,Veracruz de Ignacio de la Llave,25.624891,-103.397214,106.0,40041.72
House,Yucatán,20.997143,-89.601028,132.0,64556.24
APARTMENT,Distrito Federal,19.430141,-99.172536,97.0,104846.1
House,Tabasco,17.893124,-92.92127323,70.0,39514.86
House,Yucatán,21.0231861,-89.5863038,253.0,129639.48
APARTMENT,Distrito Federal,19.39365,-99.14769,128.0,120125.18
House,Veracruz de Ignacio de la Llave,25.569582,-103.33239,350.0,158059.45
House,Veracruz de Ignacio de la Llave,25.581369,-103.377648,133.0,51632.75
House,Puebla,19.0412967,-98.2061996,250.0,155461.98
House,Distrito Federal,19.390301,-99.11161,187.0,126447.56
APARTMENT,Puebla,19.026517,-98.214364,102.0,97598.5
House,Jalisco,23.634501,-102.552788,107.0,57955.13
APARTMENT,Distrito Federal,19.412142,-99.146127,75.0,44794.13
House,Estado de México,19.715134,-99.214828,126.0,95309.84
House,Morelos,18.804197,-98.932816,130.0,65858.1
APARTMENT,Yucatán,21.0294432,-89.6322061,237.0,192087.77
APARTMENT,Distrito Federal,19.33923,-99.218987,102.0,237089.17
House,Baja California,32.493049,-116.907481,76.0,41095.45
House,Morelos,18.960244,-99.212962,305.0,227351.46
House,Quintana Roo,21.129547,-86.817017,135.0,93781.94
APARTMENT,Tamaulipas,22.217112,-97.854477,170.0,43887.84
House,Guerrero,16.860338,-99.870399,168.0,94835.67
House,Veracruz de Ignacio de la Llave,19.109509,-96.111477,220.0,105372.96
House,Querétaro,23.634501,-102.552788,250.0,176499.72
APARTMENT,Yucatán,21.0307114,-89.6181018,157.0,81630.71
House,Querétaro,20.6536084,-100.3469826,128.0,105372.96
House,Estado de México,19.650003,-99.220367,135.0,126477.54
House,Nuevo León,25.708134,-100.145821,60.0,34254.33
House,Nuevo León,25.751371,-100.238281,185.0,72707.34
House,Veracruz de Ignacio de la Llave,25.581989,-103.378005,220.0,76395.4
House,Tamaulipas,26.074236,-98.349915,200.0,126447.56
House,Quintana Roo,21.15048247,-86.81568548,261.0,216014.58
House,Jalisco,20.785506,-103.442286,98.0,52423.05
APARTMENT,Distrito Federal,19.374421,-99.13907,72.0,118386.52
House,Yucatán,20.99947,-89.642815,211.0,63238.77
House,Estado de México,19.533243,-99.227295,200.0,173865.39
House,Querétaro,20.705742,-100.444016,300.0,226551.88
House,Sonora,29.058504,-110.978981,185.0,34254.33
House,Puebla,18.99466,-98.2761016,178.0,139652.29
House,Sinaloa,24.754314,-107.402241,280.0,84298.37
House,Estado de México,19.544106,-99.112656,6550.0,68492.42
House,Chihuahua,28.6329957,-106.0691004,115.0,63238.77
House,Yucatán,20.99214914,-89.5655331,121.0,65873.72
House,San Luis Potosí,22.141575,-100.900192,108.0,50591.01
House,Morelos,18.942068,-99.242531,290.0,242415.29
House,Puebla,19.087196,-98.288637,148.0,72707.34
House,Veracruz de Ignacio de la Llave,19.1616453,-96.154687,290.0,147557.13
House,Puebla,18.989595,-98.203529,200.0,150192.08
House,Morelos,18.917542,-98.963181,220.0,110641.61
APARTMENT,Distrito Federal,19.384533,-99.183172,120.0,189716.32
House,Distrito Federal,19.317922,-99.236124,350.0,176499.72
House,Estado de México,19.696592,-99.231445,87.0,152000.5
APARTMENT,Distrito Federal,19.401819,-99.184615,75.0,78502.86
House,Puebla,18.998509,-98.179484,200.0,102738.64
APARTMENT,San Luis Potosí,22.1418,-101.027344,114.0,88270.78
