property_type,state,lat,lon,area_m2,price_mxn
HOUSE,Estado de México,19.560181,-99.233528,150.0,67965.56
HOUSE,Nuevo León,25.6884355,-100.1988071,186.0,63223.78
APARTMENT,Guerrero,16.767704,-99.764383,82.0,84298.37
APARTMENT,Guerrero,16.829782,-99.911012,150.0,94308.8
HOUSE,Yucatán,21.05258302,-89.53863859,205.0,105191.37
HOUSE,Querétaro,20.7163149,-100.4525027,320.0,
HOUSE,Morelos,18.8126047,-98.9548261,281.0,151509.56
HOUSE,Chiapas,16.769737,-93.088928,140.0,79029.72
HOUSE,Estado de México,19.30540733,-99.64694828,235.0,115937.75
HOUSE,Morelos,18.804197,-98.932816,117.0,63223.78
APARTMENT,Guerrero,16.775165,-99.789939,,157269.15
HOUSE,Yucatán,21.0483333,-89.6780555,193.0,104607.47
,Estado de México,19.560181,-99.233528,85.0,63238.77
HOUSE,Tabasco,18.01408208,-92.8963995,135.0,77994.48
APARTMENT,Distrito Federal,19.390748,-99.158695,127.0,131716.2
APARTMENT,Yucatán,21.33715074,-89.32268858,208.0,203167.1
HOUSE,Distrito Federal,19.337652,-99.2233268,,264390.77
,Nayarit,21.518174,-104.9074948,,63238.77
HOUSE,Morelos,18.855343,-99.241142,73.0,36775.16
APARTMENT,Puebla,19.0248763,-98.1945109,170.0,173570.3
APARTMENT,,19.403334,-99.157755,129.0,131716.2
APARTMENT,Distrito Federal,19.428152,-99.106194,68.0,67175.26
HOUSE,Puebla,18.991881,-98.275275,334.0,
HOUSE,Veracruz de Ignacio de la Llave,25.624891,-103.397214,106.0,40041.72
HOUSE,Yucatán,20.997143,-89.601028,132.0,64556.24
HOUSE,Sinaloa,23.239141,-106.412613,104.0,44783.51
APARTMENT,Distrito Federal,,-99.172536,97.0,104846.1
HOUSE,Estado de México,19.538595,-99.180214,200.0,
APARTMENT,Yucatán,21.030668,-89.599258,80.0,
HOUSE,Tabasco,17.893124,-92.92127323,,39514.86
HOUSE,Chiapas,16.717077,-93.162903,240.0,158059.45
HOUSE,Tamaulipas,22.3261979,-97.8885244,9400.0,92223.21
HOUSE,Yucatán,21.0231861,-89.5863038,,129639.48
APARTMENT,Distrito Federal,19.39365,-99.14769,128.0,120125.18
HOUSE,Veracruz de Ignacio de la Llave,25.569582,-103.33239,350.0,158059.45
HOUSE,Veracruz de Ignacio de la Llave,,-103.377648,,51632.75
HOUSE,Puebla,19.0412967,-98.2061996,250.0,155461.98
HOUSE,Distrito Federal,19.390301,-99.11161,187.0,126447.56
HOUSE,Veracruz de Ignacio de la Llave,19.101803,-96.163884,127.0,51662.25
,Puebla,19.026517,-98.214364,102.0,97598.5
HOUSE,Jalisco,23.634501,-102.552788,107.0,
HOUSE,Yucatán,21.075163,-89.516731,242.0,108534.15
HOUSE,,19.3605334,-99.2267067,245.0,247626.47
APARTMENT,Distrito Federal,19.351369,-99.248993,90.0,86300.46
APARTMENT,Distrito Federal,19.412142,-99.146127,75.0,
,Puebla###,18.987232,-98.206947,93.0,40841.7
HOUSE,Estado de México,19.715134,-99.214828,126.0,95309.84
HOUSE,Distrito Federal,19.374069,-99.01932,300.0,150719.07
HOUSE,San Luis Potosí,22.133745,-101.016029,132.0,81683.41
HOUSE,Morelos,18.804197,-98.932816,130.0,65858.1
APARTMENT,Yucatán,21.0294432,-89.6322061,237.0,192087.77
HOUSE,Sinaloa,24.8093254,-107.4692179,96.0,60603.82
APARTMENT,Distrito Federal,19.33923,-99.218987,102.0,237089.17
HOUSE,Baja California,32.493049,-116.907481,76.0,41095.45
HOUSE,Hidalgo,,-98.7362998,229.0,
HOUSE,Morelos,18.960244,-99.212962,305.0,227351.46
,Puebla,23.634501,,128.0,67438.69
HOUSE,,19.53808025,-99.23847934,240.0,136984.85
,Quintana Roo,21.129547,-86.817017,135.0,93781.94
HOUSE,Nuevo León,25.5683841,-100.2439723,320.0,205477.28
APARTMENT,Tamaulipas,22.217112,-97.854477,170.0,43887.84
HOUSE,Guerrero,16.860338,-99.870399,168.0,94835.67
HOUSE,Veracruz de Ignacio de la Llave,19.109509,-96.111477,220.0,105372.96
HOUSE,Guerrero,16.771518,-99.772466,180.0,79029.72
HOUSE,Querétaro,23.634501,-102.552788,,176499.72
APARTMENT,Yucatán,21.0307114,-89.6181018,157.0,81630.71
HOUSE,Querétaro,20.6536084,-100.3469826,128.0,105372.96
HOUSE,Estado de México,19.650003,-99.220367,135.0,126477.54
HOUSE,Nuevo León,25.708134,-100.145821,,
