property_type,place_with_parent_names,lat-lon,area_m2,price_usd,lat,lon
house,|México|Estado de México|,"19.560181,-99.233528",150.0,67965.56,19.560181,-99.233528
house,|México|Nuevo León|,"25.6884355,-100.1988071",186.0,63223.78,25.6884355,-100.1988071
apartment,|México|Guerrero|,"16.767704,-99.764383",82.0,84298.37,16.767704,-99.764383
apartment,|México|Guerrero|,"16.829782,-99.911012",150.0,94308.8,16.829782,-99.911012
house,|México|Yucatán|,"21.05258302,-89.53863859",205.0,105191.37,21.05258302,-89.53863859
house,|México|Querétaro|,"20.7163149,-100.4525027",,274034.68,20.7163149,-100.4525027
other,|México|Morelos|,,,,,
house,|México|Chiapas|,"16.769737,-93.088928",140.0,79029.72,16.769737,-93.088928
house,|México|Estado de México|,"19.30540733,-99.64694828",235.0,,19.30540733,-99.64694828
other,|México|Morelos|,"18.804197,-98.932816",117.0,63223.78,18.804197,-98.932816
apartment,|México|Guerrero|,"16.775165,-99.789939",117.0,157269.15,16.775165,-99.789939
house,|México|Yucatán|,"21.0483333,-89.6780555",193.0,104607.47,21.0483333,-89.6780555
house,|México|Estado de México|,"19.560181,-99.233528",85.0,63238.77,19.560181,-99.233528
house,|México|,"18.01408208,-92.8963995",135.0,77994.48,18.01408208,-92.8963995
apartment,|México|Distrito Federal|,"19.390748,-99.158695",127.0,131716.2,19.390748,-99.158695
apartment,|México|Yucatán|,"21.33715074,-89.32268858",208.0,203167.1,21.33715074,-89.32268858
house,|México|Distrito Federal|,"19.337652,-99.2233268",297.0,264390.77,19.337652,-99.2233268
house,|México|Nayarit|,"21.518174,-104.9074948",173.0,63238.77,21.518174,-104.9074948
house,|México|Morelos|,"18.855343,-99.241142",73.0,36775.16,18.855343,-99.241142
apartment,|México|Puebla|,"19.0248763,-98.1945109",170.0,173570.3,19.0248763,-98.1945109
apartment,|México|Distrito Federal|,"19.403334,-99.157755",129.0,131716.2,19.403334,-99.157755
apartment,|México|Distrito Federal|,"19.428152,-99.106194",68.0,67175.26,19.428152,-99.106194
house,|México|Puebla|,"18.991881,-98.275275",334.0,262905.55,18.991881,-98.275275
house,|México|Veracruz de Ignacio de la Llave|,"25.624891,-103.397214",106.0,40041.72,25.624891,-103.397214
house,|México|Yucatán|,,132.0,64556.24,,-89.601028
house,|México|Sinaloa|,"23.239141,-106.412613",104.0,44783.51,23.239141,-106.412613
apartment,|México|,"19.430141,-99.172536",97.0,104846.1,19.430141,-99.172536
house,|México|Estado de México|,"19.538595,-99.180214",200.0,158059.45,19.538595,-99.180214
apartment,|México|Yucatán|,"21.030668,-89.599258",80.0,84845.35,21.030668,-89.599258
house,|México|Tabasco|,"17.893124,-92.92127323",70.0,39514.86,17.893124,-92.92127323
house,|México|Chiapas|,"16.717077,-93.162903",240.0,158059.45,16.717077,-93.162903
house,|México|nan###|,"22.3261979,-97.8885244",188.0,,22.3261979,-97.8885244
house,|México|Yucatán|,"21.0231861,-89.5863038",253.0,129639.48,21.0231861,-89.5863038
apartment,|México|Distrito Federal|,"19.39365,-99.14769",128.0,120125.18,19.39365,-99.14769
house,|México|,"25.569582,-103.33239",350.0,158059.45,25.569582,-103.33239
house,|México|,"25.581369,-103.377648",133.0,51632.75,25.581369,-103.377648
house,|México|Puebla|,"19.0412967,-98.2061996",250.0,155461.98,19.0412967,-98.2061996
house,|México|Distrito Federal|,"19.390301,-99.11161",187.0,,19.390301,-99.11161
house,|México|Veracruz de Ignacio de la Llave|,"19.101803,-96.163884",127.0,,19.101803,-96.163884
apartment,|México|Puebla|,"19.026517,-98.214364",102.0,97598.5,19.026517,-98.214364
house,|México|,"23.634501,-102.552788",107.0,57955.13,23.634501,-102.552788
house,|México|Yucatán|,"21.075163,-89.516731",242.0,108534.15,21.075163,-89.516731
house,|México|Distrito Federal|,"19.3605334,-99.2267067",245.0,247626.47,19.3605334,-99.2267067
apartment,|México|Distrito Federal|,"19.351369,-99.248993",90.0,86300.46,19.351369,-99.248993
apartment,|México|,"19.412142,-99.146127",75.0,44794.13,19.412142,-99.146127
apartment,|México|Puebla|,"18.987232,-98.206947",,40841.7,18.987232,-98.206947
house,|México|Estado de México|,"19.715134,-99.214828",126.0,95309.84,19.715134,-99.214828
house,|México|Distrito Federal|,"19.374069,-99.01932",300.0,150719.07,19.374069,-99.01932
house,|México|San Luis Potosí|,,132.0,81683.41,22.133745,
house,|México|Morelos|,"18.804197,-98.932816",130.0,65858.1,18.804197,-98.932816
apartment,|México|Yucatán|,"21.0294432,-89.6322061",237.0,192087.77,21.0294432,-89.6322061
house,|México|Sinaloa|,"24.8093254,-107.4692179",96.0,60603.82,24.8093254,-107.4692179
apartment,|México|Distrito Federal|,"19.33923,-99.218987",,237089.17,19.33923,-99.218987
house,|México|Baja California|,"32.493049,-116.907481",76.0,41095.45,32.493049,-116.907481
house,|México|Hidalgo|,"20.1254846,-98.7362998",229.0,158096.93,20.1254846,-98.7362998
house,|México|Morelos|,"18.960244,-99.212962",305.0,227351.46,18.960244,-99.212962
other,|México|Puebla|,"23.634501,-102.552788",128.0,67438.69,23.634501,-102.552788
house,|México|Estado de México|,"19.53808025,-99.23847934",240.0,,19.53808025,-99.23847934
house,|México|Quintana Roo|,"21.129547,-86.817017",135.0,93781.94,21.129547,-86.817017
house,|México|Nuevo León|,"25.5683841,-100.2439723",320.0,205477.28,25.5683841,-100.2439723
apartment,|México|Tamaulipas|,"22.217112,-97.854477",20241201.0,43887.84,22.217112,-97.854477
house,|México|Guerrero|,"16.860338,-99.870399",168.0,94835.67,16.860338,-99.870399
house,|México|Veracruz de Ignacio de la Llave|,,220.0,105372.96,,-96.111477
house,|México|Guerrero|,"16.771518,-99.772466",180.0,79029.72,16.771518,-99.772466
house,|México|Querétaro|,"23.634501,-102.552788",250.0,176499.72,23.634501,-102.552788
apartment,|México|Yucatán|,"21.0307114,-89.6181018",157.0,81630.71,21.0307114,-89.6181018
house,|México|,"20.6536084,-100.3469826",128.0,105372.96,20.6536084,-100.3469826
house,|México|Estado de México|,"19.650003,-99.220367",135.0,126477.54,19.650003,-99.220367
house,|México|Nuevo León|,"25.708134,-100.145821",60.0,,25.708134,-100.145821
house,|México|,"25.751371,-100.238281",185.0,,25.751371,-100.238281
apartment,|México|Distrito Federal###|,"19.351371,-99.161529",60.0,35563.37,19.351371,-99.161529
house,|México|Distrito Federal|,"19.298899,-99.208048",300.0,207057.88,19.298899,-99.208048
house,|México|Veracruz de Ignacio de la Llave|,"25.581989,-103.378005",220.0,76395.4,25.581989,-103.378005
house,|México|Tamaulipas|,,,126447.56,,
house,|México|Quintana Roo|,"21.15048247,-86.81568548",261.0,216014.58,21.15048247,-86.81568548
house,|México|Jalisco|,"20.785506,-103.442286",98.0,52423.05,20.785506,-103.442286
apartment,|México|Distrito Federal|,"19.374421,-99.13907",72.0,118386.52,19.374421,-99.13907
house,|México|Yucatán|,"20.99947,-89.642815",211.0,63238.77,20.99947,-89.642815
house,|México|Estado de México|,"19.533243,-99.227295",200.0,173865.39,19.533243,-99.227295
house,|México|Querétaro|,"20.705742,-100.444016",300.0,,20.705742,-100.444016
house,|México|Sonora|,"29.058504,-110.978981",185.0,34254.33,29.058504,-110.978981
house,|México|Puebla###|,"18.99466,-98.2761016",178.0,139652.29,18.99466,-98.2761016
house,|México|,"24.754314,-107.402241",280.0,84298.37,24.754314,-107.402241
house,|México|Estado de México###|,"19.544106,-99.112656",131.0,68492.42,19.544106,-99.112656
house,|México|Chihuahua|,"28.6329957,-106.0691004",115.0,63238.77,28.6329957,-106.0691004
house,|México|Yucatán###|,"20.99214914,-89.5655331",121.0,,20.99214914,-89.5655331
house,|México|San Luis Potosí|,"22.141575,-100.900192",108.0,50591.01,22.141575,-100.900192
house,|México|Distrito Federal|,"19.499857,-99.097517",300.0,126447.56,19.499857,-99.097517
apartment,|México|Distrito Federal|,"19.381729,-99.164986",,142253.5,19.381729,-99.164986
house,|México|Morelos|,"18.942068,-99.242531",290.0,242415.29,18.942068,-99.242531
house,|México|Puebla|,"19.087196,-98.288637",148.0,72707.34,19.087196,-98.288637
house,|México|Veracruz de Ignacio de la Llave|,"19.1616453,-96.154687",290.0,147557.13,19.1616453,-96.154687
house,|México|Puebla|,"18.989595,-98.203529",200.0,150192.08,18.989595,-98.203529
other,|México|Morelos|,"18.917542,-98.963181",220.0,110641.61,18.917542,-98.963181
house,|México|Yucatán|,"20.9993534,-89.5910162",192.0,86953.31,20.9993534,-89.5910162
house,|México|Baja California Sur|,"24.14994473,-110.3169306",176.0,131747.44,24.14994473,-110.3169306
apartment,|México|Distrito Federal|,"19.384533,-99.183172",120.0,189716.32,19.384533,-99.183172
house,|México|Distrito Federal|,"19.317922,-99.236124",350.0,176499.72,19.317922,-99.236124
house,|México|Estado de México|,"19.696592,-99.231445",87.0,152000.5,19.696592,-99.231445
apartment,|México|Distrito Federal|,"19.38250406,-99.15803991",78.0,137017.34,19.38250406,-99.15803991
apartment,|México|Distrito Federal|,"19.401819,-99.184615",75.0,78502.86,19.401819,-99.184615
house,|México|Puebla|,"18.998509,-98.179484",200.0,102738.64,18.998509,-98.179484
apartment,|México|San Luis Potosí|,,,88270.78,22.1418,
house,|México|Yucatán###|,"21.072905,-89.65963",266.0,,21.072905,-89.65963
house,|México|Nuevo León|,"25.6318511,-100.170963",204.0,51644.99,25.6318511,-100.170963
house,|México|,"19.283869,-99.588992",70.0,57006.77,19.283869,-99.588992
house,|México|Jalisco|,"20.532827,-103.483829",155.0,110641.61,20.532827,-103.483829
house,|México|Morelos|,"18.918608,-98.941094",247.0,142287.24,18.918608,-98.941094
apartment,|México|Jalisco|,"20.649012,-103.448288",88.0,,20.649012,-103.448288
house,|México|Yucatán|,"21.030668,-89.599258",175.0,120944.15,21.030668,-89.599258
house,|México|Zacatecas|,"23.634501,-102.552788",170.0,89567.02,23.634501,-102.552788
apartment,|México|Distrito Federal|,"19.380937,-99.179545",98.0,197100.13,19.380937,-99.179545
apartment,|México|Estado de México###|,"19.559799,-99.233795",60.0,34599.16,19.559799,-99.233795
house,|México|Yucatán|,"21.072905,-89.65963",127.0,47417.83,21.072905,-89.65963
house,|México|Distrito Federal|,"19.367215,-99.222138",180.0,116173.69,19.367215,-99.222138
house,|México|Puebla|,"19.044477,-98.328011",326.0,,19.044477,-98.328011
house,|México|Veracruz de Ignacio de la Llave|,"18.134026,-94.476112",210.0,247626.47,18.134026,-94.476112
house,|México|Veracruz de Ignacio de la Llave|,"25.572505,-103.425036",330.0,121178.91,25.572505,-103.425036
house,|México|Estado de México|,"19.290517,-99.694921",157.0,105372.96,19.290517,-99.694921
house,|México|Jalisco|,"20.788616,-103.435217",156.0,123813.23,20.788616,-103.435217
apartment,|México|Nuevo León|,"25.6526883,-100.4122654",101.0,160866.42,25.6526883,-100.4122654
house,|México|Nuevo León|,"25.680067,-100.458626",336.0,142253.5,25.680067,-100.458626
house,|México|Estado de México|,"19.305643,-98.901535",120.0,,19.305643,-98.901535
house,|México|Estado de México|,"19.684991,-99.225298",60.0,,19.684991,-99.225298
house,|México|Yucatán|,"21.008295,-89.591019",282.0,123052.11,21.008295,-89.591019
apartment,|México|Guerrero|,,130.0,104870.96,16.8572859,
house,|México|San Luis Potosí|,"22.093321,-100.895958",110.0,,22.093321,-100.895958
house,|México|Puebla|,"23.634501,-102.552788",156.0,94835.67,23.634501,-102.552788
house,|México|San Luis Potosí|,"22.1387477,-101.0181525",200.0,97469.99,22.1387477,-101.0181525
house,|México|Estado de México|,"19.428043,-99.227384",309.0,306529.96,19.428043,-99.227384
house,|México|Hidalgo|,"20.059217,-98.790423",200.0,136984.85,20.059217,-98.790423
house,|México|,"21.292982,-89.603973",100.0,139652.29,21.292982,-89.603973
other,|México|Morelos|,"18.903454,-99.056687",145.0,89567.02,18.903454,-99.056687
house,|México|Distrito Federal|,"19.411699,-99.166247",120.0,230874.8,19.411699,-99.166247
other,|México|Morelos|,"18.89179165,-99.22272205",183.0,147557.13,18.89179165,-99.22272205
house,|México|Yucatán|,"21.0424858,-89.5568382",107.0,50579.02,21.0424858,-89.5568382
apartment,|México|Querétaro|,"20.711874,-100.448934",140.0,102211.77,20.711874,-100.448934
apartment,|México|Distrito Federal|,"19.428152,-99.106194",67.0,79029.72,19.428152,-99.106194
house,|México|Estado de México|,"19.234822,-99.559659",115.0,105372.96,19.234822,-99.559659
house,|México|Estado de México|,"19.558449,-99.22973",180.0,,19.558449,-99.22973
house,|México|Chihuahua###|,"28.652079,-106.109581",227.0,110641.61,28.652079,-106.109581
house,|México|Nuevo León|,"25.707024,-100.21376",250.0,110667.85,25.707024,-100.21376
house,|México|Aguascalientes|,"21.878481,-102.332787",215.0,136490.35,21.878481,-102.332787
house,|México|Veracruz de Ignacio de la Llave|,"19.155567,-96.13928",165.0,60589.45,19.155567,-96.13928
house,|México|Hidalgo|,"20.05687984,-98.76537555",200.0,68508.67,20.05687984,-98.76537555
house,|México|Nuevo León|,"25.634661,-100.295769",242.0,76413.51,25.634661,-100.295769
apartment,|México|Distrito Federal###|,"19.367931,-99.170262",120.0,,19.367931,-99.170262
house,|México|Distrito Federal|,"19.360526,-99.301674",220.0,87703.06,19.360526,-99.301674
house,|México|Distrito Federal|,"19.464398,-99.113317",304.0,259470.39,19.464398,-99.113317
house,|México|Puebla|,"19.01195,-98.219383",385.0,237089.17,19.01195,-98.219383
apartment,|México|Yucatán|,"21.2929822,-89.6039725",255.0,236144.12,21.2929822,-89.6039725
house,|México|,"19.351396,-99.130999",225.0,237089.17,19.351396,-99.130999
house,|México|Morelos|,"18.93409,-99.254997",218.0,143530.93,18.93409,-99.254997
house,|México|Querétaro|,"20.6990975,-100.4705682",276.0,131747.44,20.6990975,-100.4705682
house,|México|Yucatán###|,,100.0,79029.72,,-89.599258
house,|México|Yucatán|,"20.996355,-89.583946",201.0,92223.21,20.996355,-89.583946
house,|México|,"18.983141,-98.265739",135.0,42149.18,18.983141,-98.265739
house,|México|Estado de México|,"19.2826098,-99.6556653",90.0,56387.9,19.2826098,-99.6556653
house,|México|Tamaulipas|,,176.0,60603.82,22.4107891,
house,|México|Tabasco|,"18.263374,-93.179222",104.0,39514.86,18.263374,-93.179222
house,|México|,"19.396669,-99.067626",220.0,110050.31,19.396669,-99.067626
house,|México|Yucatán|,"21.039522,-89.563911",,65858.1,21.039522,-89.563911
other,|México|Estado de México|,"19.545097,-99.21289",11650.0,171306.94,19.545097,-99.21289
apartment,|México|,"19.054064,-98.245911",95.0,84318.36,19.054064,-98.245911
house,|México|Estado de México|,"19.62378,-99.199085",153.0,108007.29,19.62378,-99.199085
house,|México|Sinaloa|,"23.240411,-106.432565",189.0,63118.4,23.240411,-106.432565
apartment,|México|Distrito Federal|,"19.452331,-99.177162",90.0,73234.21,19.452331,-99.177162
house,|México|Quintana Roo|,"21.129547,-86.817017",275.0,173865.39,21.129547,-86.817017
apartment,|México|Distrito Federal###|,"19.342083,-99.0532159",86.0,90115.25,19.342083,-99.0532159
house,|México|Nuevo León|,"25.702822,-100.304192",148.0,,25.702822,-100.304192
house,|México|Veracruz de Ignacio de la Llave###|,,110.0,,,-96.939697
house,|México|Veracruz de Ignacio de la Llave|,"19.205341,-96.197784",130.0,84298.37,19.205341,-96.197784
house,|México|Yucatán|,"21.0424858,-89.5568382",185.0,76677.01,21.0424858,-89.5568382
apartment,|México|Guerrero|,"16.829584,-99.9083",154.0,114487.72,16.829584,-99.9083
house,|México|Querétaro|,"20.726007,-100.442642",273.0,181811.47,20.726007,-100.442642
other,|México|San Luis Potosí|,"23.634501,-102.552788",187.0,94308.8,23.634501,-102.552788
house,|México|Distrito Federal|,"19.395069,-99.204927",110.0,84825.23,19.395069,-99.204927
apartment,|México|Distrito Federal|,"19.400004,-99.16735",94.0,217911.29,19.400004,-99.16735
house,|México|Tabasco|,"17.979631,-92.965249",100.0,65858.1,17.979631,-92.965249
house,|México|Querétaro|,"20.5887932,-100.3898881",84.0,49537.03,20.5887932,-100.3898881
house,|México|Yucatán###|,"21.006756,-89.570984",162.0,,21.006756,-89.570984
house,|México|Yucatán|,"21.013465,-89.591041",239.0,283558.65,21.013465,-89.591041
house,|México|Chiapas|,"19.671066,-101.213341",175.0,92201.34,19.671066,-101.213341
house,|México|Veracruz de Ignacio de la Llave|,"18.1495073,-94.4422",200.0,158096.93,18.1495073,-94.4422
house,|México|Nuevo León|,"25.7418083,-100.4057781",211.0,124501.99,25.7418083,-100.4057781
house,|México|Yucatán|,"20.968147,-89.629875",123.0,41095.45,20.968147,-89.629875
house,|México|Tamaulipas|,"22.2621259,-97.8238578",141.0,78502.86,22.2621259,-97.8238578
house,|México|Jalisco|,"20.767952,-103.40899",148.0,96363.57,20.767952,-103.40899
house,|México|Morelos|,"18.795519,-99.231445",150.0,67438.69,18.795519,-99.231445
apartment,|México|Distrito Federal|,"19.449392,-99.138544",70.0,,19.449392,-99.138544
apartment,|México|Quintana Roo|,"21.15640821,-86.84881411",95.0,68508.67,21.15640821,-86.84881411
house,|México|Tamaulipas|,"22.3160889,-97.8884841",20241201.0,76940.5,22.3160889,-97.8884841
apartment,|México|Distrito Federal|,"19.486255,-99.214043",65.0,46890.97,19.486255,-99.214043
apartment,|México|Distrito Federal|,"19.36594,-99.163153",,106848.18,19.36594,-99.163153
house,|México|Veracruz de Ignacio de la Llave|,"19.146434,-96.161783",,42149.18,19.146434,-96.161783
house,|México|Yucatán|,,204.0,93781.94,21.035221,
house,|México|Guerrero|,"16.86432868,-99.88790821",170.0,115937.75,16.86432868,-99.88790821
house,|México|Querétaro|,"20.726007,-100.442642",180.0,109324.45,20.726007,-100.442642
house,|México|Sinaloa|,"23.261934,-106.408936",124.0,67702.13,23.261934,-106.408936
house,|México|Quintana Roo|,"21.139086,-86.84964",66.0,,21.139086,-86.84964
house,|México|Veracruz de Ignacio de la Llave|,"25.535524,-103.379302",276.0,63223.78,25.535524,-103.379302
house,|México|Yucatán|,,79.0,36889.28,21.0043658,
apartment,|México|Distrito Federal|,"19.364613,-99.161892",70.0,93255.07,19.364613,-99.161892
apartment,|México|Distrito Federal|,"19.366505,-99.222297",72.0,64281.19,19.366505,-99.222297
house,|México|Querétaro###|,"20.6521079,-100.3491545",250.0,144922.18,20.6521079,-100.3491545
house,|México|Yucatán|,"21.03504976,-89.59907413",137.0,78995.76,21.03504976,-89.59907413
apartment,|México|Distrito Federal|,"19.354947,-99.087529",65.0,37386.32,19.354947,-99.087529
house,|México|Yucatán|,"21.008295,-89.591019",142.0,91169.23,21.008295,-89.591019
house,|México|Querétaro|,"20.6476044,-100.35253",150.0,104319.23,20.6476044,-100.35253
house,|México|Yucatán|,"21.030668,-89.599258",305.0,184182.92,21.030668,-89.599258
house,|México|Distrito Federal|,"19.371317,-99.140957",300.0,123981.3,19.371317,-99.140957
apartment,|México|Veracruz de Ignacio de la Llave|,"19.1356101,-96.1142685",105.0,50064.02,19.1356101,-96.1142685
apartment,|México|Distrito Federal|,,90.0,,,-99.187643
apartment,|México|Distrito Federal|,,124.0,270872.74,,-99.165397
house,|México|Yucatán|,"21.039522,-89.563911",230.0,92223.21,21.039522,-89.563911
house,|México|Jalisco|,"20.755833,-103.413251",180.0,144887.83,20.755833,-103.413251
house,|México|Estado de México|,"19.27223,-99.575691",300.0,184446.42,19.27223,-99.575691
apartment,|México|Veracruz de Ignacio de la Llave|,"19.191416,-96.127518",70.0,,19.191416,-96.127518
house,|México|San Luis Potosí|,"22.121187,-100.951736",154.0,57968.87,22.121187,-100.951736
house,|México|Tabasco|,"17.987557,-92.929147",150.0,71126.75,17.987557,-92.929147
house,|México|Estado de México|,"19.4653884,-99.5940417",70.0,39524.23,19.4653884,-99.5940417
house,|México|Morelos###|,"18.8493694,-98.9479805",250.0,84298.37,18.8493694,-98.9479805
house,|México|Yucatán|,"21.05294348,-89.66792107",,62975.27,21.05294348,-89.66792107
house,|México|Morelos|,"18.942068,-99.242531",320.0,289844.37,18.942068,-99.242531
other,|México|Guerrero|,,104.0,102738.64,16.808875,
apartment,|México|Estado de México|,"19.531773,-99.245873",174.0,326656.19,19.531773,-99.245873
house,|México|Tamaulipas|,"25.860595,-97.504808",212.0,71126.75,25.860595,-97.504808
house,|México|Guanajuato|,"21.1666103,-101.6315416",210.0,131716.2,21.1666103,-101.6315416
house,|México|Morelos|,"18.882006,-99.148384",240.0,100104.31,18.882006,-99.148384
apartment,|México|Puebla###|,"19.002178,-98.271063",87.0,,19.002178,-98.271063
house,|México|Estado de México|,"19.425918,-99.230123",300.0,215222.62,19.425918,-99.230123
house,|México|Morelos|,"18.8736789,-99.1922665",257.0,188398.84,18.8736789,-99.1922665
house,|México|San Luis Potosí|,"22.186096,-101.005652",240.0,144887.83,22.186096,-101.005652
house,|México|Yucatán|,"21.075163,-89.516731",189.0,86932.69,21.075163,-89.516731
house,|México|,"18.984862,-98.222234",289.0,226551.88,18.984862,-98.222234
apartment,|México|Distrito Federal|,"19.3650311,-99.1477363",83.0,139652.29,19.3650311,-99.1477363
apartment,|México|Morelos|,"18.917393,-99.221062",6350.0,57955.13,18.917393,-99.221062
house,|México|Distrito Federal|,"19.399375,-99.149986",95.0,246994.23,19.399375,-99.149986
house,|México|Baja California|,"32.5622552,-115.3169575",75.0,42149.18,32.5622552,-115.3169575
apartment,|México|Distrito Federal|,"19.452689,-99.117987",60.0,36269.27,19.452689,-99.117987
other,|México|Distrito Federal|,"19.336104,-99.101761",70.0,50087.3,19.336104,-99.101761
house,|México|Zacatecas|,"23.634501,-102.552788",138.0,63223.78,23.634501,-102.552788
house,|México|Jalisco|,"20.567506,-103.48332",149.0,110588.92,20.567506,-103.48332
house,|México|Nayarit|,"20.722561,-105.270132",84.0,39514.86,20.722561,-105.270132
apartment,|México|Distrito Federal|,,110.0,274034.68,,-99.1594498
house,|México|San Luis Potosí|,"22.1176283,-101.0151243",380.0,266066.74,22.1176283,-101.0151243
house,|México|Yucatán|,"21.006756,-89.570984",90.0,39462.17,21.006756,-89.570984
house,|México|Veracruz de Ignacio de la Llave|,,140.0,39514.86,25.510739,
house,|México|Tamaulipas|,"22.2695545,-97.8750355",140.0,71301.71,22.2695545,-97.8750355
house,|México|Estado de México|,"19.3308425,-99.5817205",140.0,121207.64,19.3308425,-99.5817205
house,|México|Estado de México|,"19.2398293,-99.617673",332.0,242415.29,19.2398293,-99.617673
house,|México|Estado de México|,"19.4689569,-99.2727792",372.0,144887.83,19.4689569,-99.2727792
house,|México|Morelos|,"18.917542,-98.963181",200.0,131747.44,18.917542,-98.963181
house,|México|Tabasco|,"17.97280546,-92.95154875",134.0,,17.97280546,-92.95154875
house,|México|Nuevo León|,"25.79255,-100.274638",159.0,74972.86,25.79255,-100.274638
apartment,|México|,"19.3928136,-99.1738213",112.0,312957.71,19.3928136,-99.1738213
house,|México|Sinaloa|,"24.804811,-107.46476",95.0,47417.83,24.804811,-107.46476
house,|México|Aguascalientes|,,157.0,41622.32,,-102.286817
house,|México|Morelos|,"18.900945,-99.232574",279.0,142253.5,18.900945,-99.232574
house,|México|Tamaulipas|,,75.0,34254.33,22.2900902,
apartment,|México|Distrito Federal|,"19.375374,-99.137657",,34077.61,19.375374,-99.137657
house,|México|Nuevo León|,"25.660711,-100.289459",222.0,118544.58,25.660711,-100.289459
apartment,|México|Puebla|,"19.02065826,-98.22384596",100.0,103606.19,19.02065826,-98.22384596
house,|México|Yucatán|,"20.96083848,-89.62156874",160.0,52159.61,20.96083848,-89.62156874
apartment,|México|Distrito Federal|,"19.409369,-99.171906",,263494.89,19.409369,-99.171906
other,|México|Nuevo León|,"25.7584835,-100.4052434",131.0,92023.21,25.7584835,-100.4052434
house,|México|Nuevo León|,"25.712547,-100.249496",210.0,,25.712547,-100.249496
house,|México|Yucatán|,"21.05119626,-89.53858227",168.0,80112.98,21.05119626,-89.53858227
house,|México|Puebla|,,100.0,51644.99,,-98.22678055
house,|México|Jalisco###|,"20.792152,-103.475021",104.0,39514.86,20.792152,-103.475021
house,|México|Guanajuato|,,207.0,121207.64,,-101.600136
house,|México|San Luis Potosí|,"22.18307725,-101.0302325",92.0,34781.32,22.18307725,-101.0302325
apartment,|México|Distrito Federal|,"19.404032,-99.179694",103.0,209902.95,19.404032,-99.179694
other,|México|Morelos|,"18.814863,-99.211439",97.0,68492.42,18.814863,-99.211439
apartment,|México|Distrito Federal|,"19.368544,-99.163605",105.0,284507.01,19.368544,-99.163605
house,|México|Puebla|,"19.0550344,-98.2731403",330.0,189716.32,19.0550344,-98.2731403
house,|México|Yucatán|,"21.04307817,-89.55160305",,89061.27,21.04307817,-89.55160305
house,|México|Estado de México|,"19.699144,-98.978363",180.0,68492.42,19.699144,-98.978363
other,|México|Distrito Federal|,"19.341894,-99.224525",96.0,156958.3,19.341894,-99.224525
house,|México|Querétaro|,"20.596285,-100.357695",300.0,144887.83,20.596285,-100.357695
apartment,|México|Puebla|,"19.035632,-98.223132",92.0,109587.88,19.035632,-98.223132
house,|México|Puebla|,"19.0217424,-98.2604216",215.0,155461.98,19.0217424,-98.2604216
house,|México|Chiapas|,,330.0,210745.93,19.987465,
other,|México|Morelos|,,76.0,52698.97,18.957352,
house,|México|Morelos|,"18.845494,-99.20547",136.0,71765.83,18.845494,-99.20547
apartment,|México|Distrito Federal|,"19.366901,-99.297272",,109387.67,19.366901,-99.297272
house,|México|San Luis Potosí|,"22.18408015,-101.0286072",110.0,39830.98,22.18408015,-101.0286072
house,|México|Estado de México###|,"19.615452,-99.206348",,47681.26,19.615452,-99.206348
house,|México|Estado de México###|,"19.590134,-99.280419",100.0,,19.590134,-99.280419
house,|México|Distrito Federal|,"19.473907,-99.177444",320.0,91042.24,19.473907,-99.177444
house,|México|San Luis Potosí|,"22.149093,-100.889863",180.0,45321.12,22.149093,-100.889863
other,|México|Estado de México|,"19.641889,-99.1774462",250.0,79048.46,19.641889,-99.1774462
house,|México|Veracruz de Ignacio de la Llave|,"19.089373,-96.130805",168.0,,19.089373,-96.130805
house,|México|Querétaro|,"20.606224,-100.329168",165.0,97469.99,20.606224,-100.329168
house,|México|Yucatán|,"21.001256,-89.600723",325.0,,21.001256,-89.600723
apartment,|México|Nuevo León|,"25.7302897,-100.3965403",160.0,104497.22,25.7302897,-100.3965403
other,|México|Puebla|,"19.004742,-98.235992",180.0,63223.78,19.004742,-98.235992
house,|México|Morelos|,"18.920158,-99.180214",85.0,48734.99,18.920158,-99.180214
house,|México|Morelos|,"18.916586,-99.214371",272.0,262967.9,18.916586,-99.214371
house,|México|Puebla|,"19.063091,-98.296013",252.0,130873.22,19.063091,-98.296013
apartment,|México|Distrito Federal|,"19.371321,-99.140985",84.0,93465.82,19.371321,-99.140985
